Dataset,raw_feature_count,post_filter_feature_count,selected_feature_count,Model,Threshold,F1,Precision,Recall,AUC-ROC,MCC,Baseline_F1,Baseline_MCC,Baseline_AUC_ROC,Delta_F1,Delta_MCC,Delta_AUC_ROC
PC2,36,12,12,LGBM,0.7937314952779658,0.0,0.0,0.0,0.678082191780822,-0.036344729117685895,0.3304597701149425,0.2413011691604569,0.686178861788618,-0.3304597701149425,-0.2776458982781428,-0.008096670007796014
PC3,37,16,14,ExtraTrees,0.5040694989946184,0.47619047619047616,0.3508771929824561,0.7407407407407407,0.813443072702332,0.4089330528398153,0.4551282051282051,0.3002805915477367,0.7016736132551199,0.021062271062271043,0.10865246129207862,0.11176945944721206
PC3,37,16,14,BalancedRF,0.46283253038671013,0.44680851063829785,0.31343283582089554,0.7777777777777778,0.8159905937683716,0.38206901454155523,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.11254667219818643,0.15031471605592583,0.12768916328571234
PC3,37,16,14,LGBM,0.41739264852393404,0.43137254901960786,0.29333333333333333,0.8148148148148148,0.8128551832255535,0.371220683256114,0.3304597701149425,0.2413011691604569,0.686178861788618,0.10091277890466538,0.1299195140956571,0.12667632143693552
PC3,37,16,14,LogReg,0.43181315996850017,0.40707964601769914,0.26744186046511625,0.8518518518518519,0.8175582990397805,0.35031291915056817,0.4274952919020716,0.2408671398865501,0.6719910980755378,-0.020415645884372446,0.10944577926401808,0.1455672009642427
PC3,37,16,14,XGB,0.341067373752594,0.40350877192982454,0.26436781609195403,0.8518518518518519,0.8138349990201843,0.3460734104382403,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.040559024680344946,0.0966866895155217,0.12696984002049305
PC3,37,16,14,RF,0.2327855560521458,0.40384615384615385,0.2727272727272727,0.7777777777777778,0.8193219674701155,0.3324601600369169,0.2684124386252046,0.236262410894647,0.6883554595039622,0.13543371522094927,0.09619774914226992,0.1309665079661534
PC4,37,19,15,ExtraTrees,0.5395944090307826,0.6578947368421053,0.6097560975609756,0.7142857142857143,0.9291828793774319,0.6095911362286243,0.4551282051282051,0.3002805915477367,0.7016736132551199,0.2027665317139002,0.3093105446808876,0.22750926612231204
PC4,37,19,15,XGB,0.5324049592018127,0.6206896551724138,0.5192307692307693,0.7714285714285715,0.9366314619232906,0.5723363323226158,0.4440677966101695,0.2493867209227186,0.6868651589996912,0.17662185856224433,0.3229496113998972,0.24976630292359936
PC4,37,19,15,BalancedRF,0.7954999999999998,0.59375,0.6551724137931034,0.5428571428571428,0.939633129516398,0.5472783423985519,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.2594881615598886,0.3155240439129225,0.25133169903373875
PC4,37,19,15,RF,0.551637707434447,0.5671641791044776,0.59375,0.5428571428571428,0.9431906614785992,0.5118531321962915,0.2684124386252046,0.236262410894647,0.6883554595039622,0.298751740479273,0.27559072130164447,0.25483520197463705
PC4,37,19,15,LGBM,0.7274414306760945,0.5230769230769231,0.5666666666666667,0.4857142857142857,0.9331851028349083,0.4654885089564399,0.3304597701149425,0.2413011691604569,0.686178861788618,0.19261715296198062,0.224187339795983,0.24700624104629032
PC4,37,19,15,LogReg,0.8708523018863389,0.4406779661016949,0.5416666666666666,0.37142857142857144,0.8778210116731516,0.38862508318503225,0.4274952919020716,0.2408671398865501,0.6719910980755378,0.013182674199623323,0.14775794329848216,0.20582991359761382
